Age,Income,LoanAmount,CreditScore,YearsExperience,Gender,Education,City,EmploymentType,LoanApproved,LoanDate
50,64956.0,21299.0,425,1,Female,Bachelors,Houston,Salaried,0,2023-04-16
29,56118.0,10170.0,505,21,Male,Masters,Chicago,Salaried,0,2018-10-28
39,56788.0,20241.0,439,21,Male,Masters,Houston,Self-Employed,0,2021-12-13
61,28994.0,29296.0,361,30,Female,Bachelors,San Francisco,Salaried,0,2019-09-07
42,53102.0,26259.0,582,13,Female,Bachelors,New York,Salaried,0,2022-01-22
66,71255.0,19346.0,353,28,Female,Bachelors,Houston,Unemployed,0,2021-02-22
44,60220.0,12090.0,645,34,Male,Bachelors,Houston,Unemployed,0,2024-08-29
59,52315.0,21273.0,823,8,Male,Bachelors,Houston,Unemployed,1,2021-02-26
45,75679.0,14434.0,435,31,Male,Masters,Chicago,Salaried,0,2023-09-28
33,47224.0,21609.0,629,26,Female,Masters,New York,Unemployed,0,2023-07-20
32,40707.0,6278.0,443,9,Female,High School,New York,Salaried,0,2019-03-22
64,52307.0,26458.0,735,24,Male,High School,Houston,Unemployed,0,2018-05-31
68,61497.0,20266.0,581,32,Female,PhD,Houston,Salaried,0,2021-08-25
61,24233.0,37668.0,435,10,Female,High School,Chicago,Self-Employed,0,2022-12-07
69,54273.0,30448.0,788,36,Female,Masters,New York,Self-Employed,1,2023-04-13
20,62155.0,24529.0,700,8,Female,High School,San Francisco,Unemployed,0,2018-10-13
54,45955.0,19008.0,748,6,Female,High School,Houston,Salaried,1,2022-03-17
68,66604.0,14163.0,569,6,Male,Masters,San Francisco,Self-Employed,0,2023-04-18
24,59618.0,27539.0,316,33,Male,Bachelors,San Francisco,Self-Employed,0,2018-02-25
38,82121.0,18164.0,568,18,Female,Masters,New York,Unemployed,0,2024-07-02
26,38741.0,29347.0,781,19,Female,Masters,San Francisco,Unemployed,0,2020-11-15
56,62461.0,23207.0,518,24,Male,PhD,Houston,Salaried,0,2025-12-07
35,34740.0,23264.0,618,4,Male,PhD,Houston,Self-Employed,0,2020-03-27
21,25770.0,24756.0,537,28,Male,Unknown,Chicago,Salaried,0,2025-03-29
42,19467.0,12643.0,844,26,Male,Bachelors,New York,Salaried,0,2025-12-06
31,58075.0,11823.0,584,24,Male,High School,New York,Unemployed,0,2021-08-30
67,52764.0,11546.0,336,36,Female,PhD,San Francisco,Salaried,0,2024-06-02
26,42814.0,28380.0,402,14,Male,Masters,Houston,Salaried,0,2024-05-14
43,23397.0,12434.0,729,3,Male,PhD,Houston,Self-Employed,0,2024-09-27
19,39644.0,13431.0,538,13,Male,Masters,Chicago,Salaried,0,2022-10-30
37,50061.0,24300.0,424,16,Male,Bachelors,San Francisco,Self-Employed,0,2023-04-18
45,61898.0,17984.0,487,20,Female,PhD,Houston,Self-Employed,0,2020-11-12
64,49752.0,16962.0,555,15,Female,Masters,New York,Salaried,0,2025-08-23
24,53781.0,16268.0,829,25,Male,High School,Chicago,Salaried,1,2022-08-21
61,44358.0,1395.0,691,8,Male,Bachelors,New York,Self-Employed,1,2019-09-19
25,76238.0,12265.0,767,1,Female,Masters,Chicago,Salaried,1,2024-03-04
64,34726.0,29453.0,552,14,Male,High School,New York,Self-Employed,0,2022-06-17
52,39511.0,15685.0,475,34,Male,High School,San Francisco,Salaried,0,2019-10-25
31,42615.0,4796.0,765,23,Female,Masters,Houston,Self-Employed,1,2019-07-18
34,58141.0,11936.0,588,37,Female,PhD,New York,Self-Employed,0,2023-05-12
53,34417.0,22879.0,349,13,Male,High School,San Francisco,Unemployed,0,2020-04-28
67,49488.0,22720.0,303,36,Male,Bachelors,New York,Salaried,0,2025-10-19
57,52474.0,17646.0,799,36,Female,High School,San Francisco,Self-Employed,1,2025-12-29
21,39585.0,14486.0,522,5,Female,PhD,Chicago,Self-Employed,0,2020-09-03
19,54950.0,8782.0,561,17,Female,Bachelors,San Francisco,Salaried,0,2023-10-28
23,34883.0,22945.0,834,21,Male,Unknown,New York,Salaried,0,2024-06-11
59,33244.0,26703.0,675,17,Male,Bachelors,Houston,Salaried,0,2020-08-18
21,51494.0,30311.0,360,1,Male,Masters,Chicago,Unemployed,0,2025-08-17
46,25104.0,11115.0,655,31,Female,High School,Chicago,Salaried,0,2024-03-17
35,17828.0,30924.0,323,16,Male,PhD,San Francisco,Unemployed,0,2018-12-14
43,57992.0,19547.0,592,0,Female,Masters,New York,Salaried,0,2019-01-06
61,65735.0,20213.0,655,8,Male,Masters,San Francisco,Unemployed,0,2024-04-17
51,42998.0,27149.0,328,12,Female,Bachelors,Chicago,Salaried,0,2022-11-05
27,39979.0,15672.0,656,35,Male,Masters,Houston,Unemployed,0,2022-07-06
53,65083.0,2690.0,664,36,Female,High School,San Francisco,Self-Employed,1,2021-08-31
31,32817.0,25639.0,708,29,Female,Masters,New York,Unemployed,0,2023-10-19
48,29549.0,22789.0,565,30,Female,Masters,San Francisco,Unemployed,0,2026-04-25
65,60615.0,17118.0,590,22,Female,Bachelors,San Francisco,Self-Employed,1,2021-01-29
32,50136.0,24980.0,452,27,Male,Bachelors,San Francisco,Salaried,0,2019-07-30
25,65973.0,26616.0,518,9,Female,Masters,Houston,Self-Employed,0,2019-02-24
31,17896.0,7904.0,472,24,Male,Bachelors,New York,Self-Employed,0,2018-09-27
40,28990.0,20180.0,311,35,Male,Unknown,New York,Self-Employed,0,2021-11-19
57,50215.0,1779.0,815,25,Female,PhD,Chicago,Unemployed,0,2021-10-29
38,56265.0,19010.0,661,25,Female,PhD,Chicago,Self-Employed,1,2020-11-14
33,62705.0,17018.0,776,12,Male,Masters,San Francisco,Salaried,1,2022-01-06
62,52622.0,23935.0,381,16,Male,High School,Chicago,Unemployed,0,2023-10-19
35,52470.0,11416.0,639,39,Male,High School,New York,Unemployed,0,2019-10-29
64,44159.0,16628.0,740,3,Male,Bachelors,San Francisco,Self-Employed,1,2024-01-26
43,33455.0,24460.0,670,34,Male,High School,Houston,Salaried,0,2024-04-16
42,55385.0,19293.0,327,10,Male,Masters,Chicago,Unemployed,0,2019-10-12
62,35183.0,20698.0,315,11,Female,Bachelors,Houston,Self-Employed,0,2020-04-28
58,58022.0,8053.0,576,8,Male,High School,Chicago,Self-Employed,0,2023-02-24
46,34445.0,23184.0,632,14,Male,PhD,New York,Self-Employed,0,2022-01-26
32,61157.0,33222.0,782,36,Female,Bachelors,Chicago,Unemployed,0,2022-04-09
62,51682.0,18521.0,587,4,Male,Unknown,Houston,Self-Employed,0,2019-03-13
18,76170.0,25201.0,413,18,Male,Bachelors,Houston,Unemployed,0,2025-08-06
42,45785.0,13035.0,337,10,Female,PhD,Chicago,Self-Employed,0,2025-03-16
24,56374.0,19385.0,753,8,Male,High School,San Francisco,Self-Employed,1,2024-08-14
26,38305.0,7749.0,465,34,Male,PhD,Houston,Self-Employed,0,2024-07-19
41,45682.0,26305.0,504,26,Female,Bachelors,New York,Salaried,0,2026-04-25
18,51586.0,21279.0,544,12,Female,Bachelors,Chicago,Salaried,0,2019-08-11
61,27092.0,10246.0,632,11,Male,Masters,Houston,Self-Employed,0,2024-11-05
25,28736.0,13585.0,695,8,Female,Unknown,Chicago,Self-Employed,0,2023-05-04
41,58998.0,20489.0,579,27,Female,Masters,Chicago,Unemployed,0,2021-03-24
28,47809.0,27391.0,420,12,Male,Masters,San Francisco,Unemployed,0,2025-02-23
68,41106.0,31836.0,558,19,Female,Bachelors,Chicago,Salaried,0,2025-05-01
34,38945.0,18927.0,709,12,Female,PhD,Chicago,Unemployed,0,2025-08-12
25,39523.0,9083.0,609,26,Male,Masters,Chicago,Unemployed,0,2025-01-01
52,51688.0,21908.0,367,25,Male,PhD,New York,Unemployed,0,2023-08-16
52,56676.0,34279.0,413,28,Female,Masters,Chicago,Unemployed,0,2020-12-10
50,18618.0,7018.0,519,28,Female,High School,New York,Salaried,0,2020-08-19
22,71193.0,12363.0,519,21,Male,Masters,Chicago,Salaried,0,2024-07-29
59,70126.0,24888.0,772,8,Male,Unknown,San Francisco,Unemployed,0,2019-01-12
56,15040.0,21229.0,685,23,Female,Masters,San Francisco,Unemployed,0,2024-02-19
58,66289.0,15640.0,597,18,Male,High School,Houston,Salaried,0,2019-01-27
45,65828.0,21761.0,552,37,Male,PhD,Chicago,Self-Employed,0,2023-03-31
24,50007.0,27820.0,704,30,Female,PhD,San Francisco,Unemployed,0,2024-11-27
26,30542.0,19213.0,791,38,Female,PhD,San Francisco,Self-Employed,0,2019-08-28
25,65228.0,18512.0,656,14,Male,Bachelors,Chicago,Unemployed,0,2025-11-25
29,46382.0,24712.0,727,31,Male,PhD,Houston,Salaried,1,2023-12-11
51,58233.0,17836.0,514,28,Female,Bachelors,New York,Unemployed,0,2024-09-29
50,83288.0,29140.0,679,33,Male,High School,San Francisco,Self-Employed,1,2022-05-20
65,53778.0,36214.0,513,8,Female,PhD,San Francisco,Salaried,0,2022-10-02
40,49488.0,12856.0,397,34,Male,PhD,New York,Unemployed,0,2022-10-22
41,44964.0,10000.0,827,5,Male,PhD,San Francisco,Unemployed,0,2020-07-13
54,38158.0,22974.0,827,36,Male,High School,New York,Salaried,0,2022-12-01
52,56502.0,9716.0,834,13,Female,Bachelors,New York,Unemployed,0,2024-05-10
61,37909.0,9579.0,848,8,Female,Masters,Houston,Salaried,0,2025-01-31
57,49488.0,3606.0,627,18,Male,High School,New York,Unemployed,0,2023-11-09
39,30734.0,16942.0,464,22,Male,High School,New York,Salaried,0,2021-12-29
44,48019.0,19736.0,415,27,Female,High School,New York,Unemployed,0,2018-03-20
52,52651.0,15861.0,449,15,Female,Bachelors,New York,Salaried,0,2023-07-25
18,9728.0,31123.0,817,25,Male,Bachelors,San Francisco,Salaried,0,2021-11-22
52,53894.0,30527.0,331,37,Female,Bachelors,New York,Unemployed,0,2024-11-23
54,49314.0,35431.0,592,39,Female,Bachelors,San Francisco,Salaried,0,2018-03-16
64,38525.0,20372.0,476,24,Male,Bachelors,Chicago,Unemployed,0,2021-02-28
31,80429.0,29471.0,360,34,Male,PhD,Chicago,Unemployed,0,2024-01-08
20,64377.0,22471.0,715,4,Female,Masters,New York,Unemployed,0,2020-01-04
18,33554.0,21667.0,579,6,Female,Masters,Houston,Salaried,0,2018-02-17
22,62574.0,16261.0,306,22,Male,Bachelors,Houston,Unemployed,0,2023-08-15
43,68667.0,1895.0,384,24,Female,Bachelors,San Francisco,Salaried,0,2024-09-06
31,51980.0,25098.0,697,0,Male,PhD,San Francisco,Self-Employed,1,2024-11-01
56,55422.0,29233.0,692,21,Male,Bachelors,Chicago,Self-Employed,1,2026-03-25
44,49488.0,7795.0,346,3,Female,PhD,San Francisco,Self-Employed,0,2023-02-17
26,18713.0,19922.0,640,27,Male,PhD,Houston,Unemployed,0,2026-02-19
32,47197.0,27933.0,579,13,Male,High School,Chicago,Salaried,0,2020-05-02
32,46416.0,17124.0,777,32,Male,High School,New York,Unemployed,0,2019-09-09
43,71452.0,29545.0,725,3,Male,Bachelors,San Francisco,Salaried,1,2020-07-07
59,55006.0,18878.0,725,10,Male,PhD,New York,Self-Employed,1,2020-03-24
30,45536.0,15799.0,814,38,Female,Bachelors,San Francisco,Self-Employed,1,2018-09-06
68,48648.0,30002.0,428,31,Male,High School,Houston,Self-Employed,0,2025-08-25
49,65351.0,12530.0,548,3,Male,High School,San Francisco,Unemployed,0,2018-10-08
56,47231.0,14201.0,430,0,Male,High School,Houston,Unemployed,0,2023-10-15
66,39527.0,12836.0,622,25,Female,High School,Houston,Salaried,0,2023-12-06
69,45864.0,10859.0,842,32,Male,High School,New York,Salaried,1,2021-04-13
49,64110.0,21224.0,365,16,Male,Bachelors,San Francisco,Self-Employed,0,2021-10-14
21,57442.0,15897.0,400,26,Male,Bachelors,New York,Unemployed,0,2023-10-01
47,50664.0,23909.0,330,4,Male,High School,Houston,Unemployed,0,2022-06-09
54,52873.0,6123.0,490,6,Female,Bachelors,Houston,Salaried,0,2025-02-07
40,41604.0,11020.0,714,24,Female,High School,Houston,Salaried,1,2019-03-06
56,47091.0,20413.0,799,7,Male,High School,Houston,Unemployed,0,2018-11-25
62,40050.0,31757.0,345,33,Female,Unknown,Chicago,Unemployed,0,2018-03-06
32,45578.0,23028.0,388,3,Female,Bachelors,Houston,Salaried,0,2020-12-10
60,70193.0,15285.0,674,11,Female,Bachelors,San Francisco,Unemployed,0,2024-10-14
46,33832.0,8084.0,545,30,Male,PhD,Houston,Unemployed,0,2021-05-04
53,39669.0,14817.0,556,10,Male,Bachelors,Chicago,Self-Employed,0,2020-02-25
30,31186.0,19660.0,651,36,Male,Bachelors,San Francisco,Unemployed,0,2025-09-18
49,27936.0,1138.0,579,35,Male,Masters,Chicago,Unemployed,0,2019-04-25
24,47198.0,10293.0,636,21,Male,High School,Chicago,Unemployed,0,2025-07-14
68,40736.0,14100.0,825,0,Male,High School,San Francisco,Salaried,1,2023-03-06
39,76425.0,17941.0,600,3,Female,Bachelors,Chicago,Self-Employed,0,2023-03-25
45,45757.0,19565.0,376,35,Female,Bachelors,Houston,Salaried,0,2018-12-04
19,69341.0,15113.0,810,7,Female,PhD,New York,Self-Employed,1,2019-07-12
59,64520.0,24047.0,529,24,Female,Masters,New York,Self-Employed,0,2019-12-16
62,46866.0,20998.0,331,27,Female,High School,New York,Unemployed,0,2023-01-15
23,81652.0,17039.0,357,37,Male,High School,San Francisco,Self-Employed,0,2022-05-09
45,54028.0,25150.0,403,35,Male,Bachelors,San Francisco,Self-Employed,0,2019-10-12
45,72695.0,24496.0,611,35,Female,Bachelors,San Francisco,Unemployed,0,2025-08-10
61,70949.0,8370.0,366,3,Male,Masters,New York,Unemployed,0,2019-12-08
61,56220.0,19744.0,673,12,Male,High School,New York,Self-Employed,1,2023-06-14
37,61267.0,27122.0,534,37,Male,Masters,San Francisco,Salaried,0,2025-08-05
47,59361.0,28460.0,411,24,Male,High School,New York,Self-Employed,0,2019-10-07
28,32836.0,22967.0,688,2,Male,Bachelors,Chicago,Salaried,0,2020-11-20
45,50859.0,18134.0,707,31,Female,Masters,Chicago,Salaried,1,2022-05-26
42,66114.0,23371.0,579,38,Female,PhD,New York,Self-Employed,0,2023-01-28
56,72893.0,26462.0,538,0,Female,Bachelors,San Francisco,Salaried,0,2021-10-28
50,39190.0,20927.0,594,10,Male,PhD,Houston,Self-Employed,0,2025-08-23
18,49488.0,21829.0,411,1,Male,PhD,Houston,Salaried,0,2020-11-26
44,49488.0,18002.0,387,4,Male,PhD,New York,Salaried,0,2021-05-23
69,48232.0,9306.0,775,21,Male,High School,Houston,Self-Employed,1,2025-04-03
30,55340.0,18605.0,603,12,Female,PhD,San Francisco,Unemployed,0,2022-10-28
58,49488.0,14583.0,604,22,Male,High School,Chicago,Unemployed,0,2019-09-04
20,58121.0,14609.0,589,30,Female,Masters,Chicago,Self-Employed,0,2024-09-22
56,71626.0,31471.0,507,34,Female,Bachelors,San Francisco,Self-Employed,0,2021-07-03
23,61762.0,27612.0,669,37,Female,High School,Houston,Unemployed,0,2019-01-05
25,54659.0,6452.0,519,34,Female,High School,New York,Unemployed,0,2020-04-18
44,77969.0,11321.0,530,12,Male,Masters,Chicago,Salaried,0,2026-02-12
26,66649.0,17092.0,648,6,Male,Masters,Houston,Salaried,1,2023-05-31
54,48614.0,14875.0,554,4,Female,Bachelors,Houston,Salaried,0,2022-01-17
50,31743.0,22539.0,751,28,Male,Masters,Chicago,Unemployed,0,2023-12-18
68,35183.0,10051.0,441,7,Male,High School,Chicago,Self-Employed,0,2024-03-14
59,63998.0,27668.0,368,7,Male,Bachelors,New York,Salaried,0,2021-11-08
61,40545.0,19648.0,388,6,Female,Bachelors,San Francisco,Self-Employed,0,2024-11-29
41,34879.0,17276.0,435,18,Female,Bachelors,Houston,Unemployed,0,2025-11-20
32,38629.0,19885.0,822,38,Female,PhD,New York,Salaried,0,2024-04-28
49,39689.0,16660.0,741,22,Female,PhD,Chicago,Unemployed,0,2018-05-22
49,62760.0,3755.0,337,35,Female,High School,San Francisco,Self-Employed,0,2018-09-17
41,47649.0,20095.0,507,31,Female,PhD,San Francisco,Salaried,0,2018-10-10
58,29414.0,17434.0,509,3,Female,Masters,Houston,Self-Employed,0,2019-07-26
69,50466.0,12364.0,812,29,Male,Bachelors,San Francisco,Self-Employed,1,2018-08-06
66,53334.0,28779.0,659,38,Female,High School,Chicago,Salaried,1,2023-09-10
66,42810.0,25356.0,300,4,Male,Masters,Chicago,Salaried,1,2025-05-29
69,67338.0,39511.0,680,2,Female,Bachelors,Chicago,Unemployed,0,2022-07-31
29,43686.0,26679.0,836,21,Male,Masters,New York,Salaried,1,2019-10-18
56,66625.0,14853.0,693,27,Male,PhD,Chicago,Salaried,0,2018-09-04
19,58952.0,12754.0,349,21,Male,Masters,New York,Salaried,0,2022-08-20
20,63899.0,16046.0,695,21,Male,PhD,Chicago,Salaried,1,2019-12-12
66,33522.0,14667.0,331,33,Female,Unknown,Chicago,Salaried,0,2019-04-11
54,51475.0,20870.0,844,28,Female,High School,San Francisco,Unemployed,0,2023-12-17
66,49208.0,7690.0,533,12,Female,PhD,Houston,Self-Employed,0,2023-11-08
34,28670.0,25178.0,325,6,Female,PhD,Chicago,Unemployed,0,2021-03-25
66,66576.0,20730.0,733,9,Female,Bachelors,San Francisco,Self-Employed,1,2021-02-13
19,37739.0,24260.0,360,27,Female,Unknown,San Francisco,Salaried,0,2025-07-01
19,40856.0,10847.0,740,3,Female,Bachelors,Houston,Unemployed,0,2020-08-26
45,34800.0,21974.0,429,31,Female,PhD,San Francisco,Self-Employed,0,2020-03-18
40,60518.0,30393.0,653,21,Female,PhD,San Francisco,Self-Employed,1,2021-09-16
54,27111.0,13116.0,497,19,Female,PhD,Houston,Salaried,0,2023-03-28
49,59268.0,12897.0,670,19,Female,Unknown,New York,Salaried,1,2021-10-24
50,65668.0,25696.0,446,5,Male,Bachelors,Houston,Self-Employed,0,2018-05-04
18,58058.0,12248.0,797,8,Male,High School,Houston,Unemployed,0,2024-10-07
36,60689.0,18134.0,347,27,Male,Masters,Chicago,Self-Employed,0,2019-01-26
19,61393.0,31806.0,471,12,Male,PhD,Chicago,Unemployed,0,2021-05-30
61,35759.0,13011.0,614,30,Male,PhD,New York,Unemployed,0,2021-04-01
43,71521.0,32356.0,675,38,Female,High School,Houston,Self-Employed,1,2022-10-17
49,43099.0,17314.0,832,13,Female,Bachelors,Houston,Unemployed,0,2026-02-21
23,49004.0,11030.0,719,21,Male,Masters,New York,Self-Employed,1,2024-01-09
49,45010.0,24830.0,695,36,Female,High School,Chicago,Self-Employed,1,2021-11-07
21,57373.0,20862.0,821,23,Male,High School,Houston,Salaried,1,2019-03-22
28,41929.0,20105.0,486,7,Female,High School,New York,Self-Employed,0,2019-12-01
34,51004.0,13850.0,332,14,Female,High School,Chicago,Self-Employed,0,2022-10-13
55,31470.0,20804.0,368,5,Male,PhD,San Francisco,Salaried,0,2019-10-02
41,67470.0,3459.0,490,22,Male,Masters,New York,Salaried,0,2018-11-30
22,60061.0,21750.0,400,24,Male,PhD,New York,Unemployed,0,2022-03-31
69,45616.0,30378.0,784,30,Female,High School,Houston,Unemployed,0,2021-01-30
51,42963.0,5877.0,584,28,Male,Masters,San Francisco,Salaried,0,2024-07-28
23,59669.0,16746.0,689,22,Female,High School,Chicago,Salaried,1,2019-08-24
39,39391.0,13003.0,459,9,Female,Bachelors,San Francisco,Salaried,1,2024-12-07
28,51880.0,7912.0,346,8,Female,High School,Houston,Self-Employed,0,2021-01-24
65,67421.0,3577.0,458,12,Female,High School,Houston,Self-Employed,0,2018-03-03
33,37831.0,10553.0,745,31,Male,Bachelors,Chicago,Self-Employed,0,2021-11-18
50,49488.0,18061.0,822,0,Male,PhD,Chicago,Salaried,1,2021-01-30
26,54736.0,29193.0,454,0,Male,Unknown,Chicago,Unemployed,0,2019-12-30
23,48540.0,7818.0,638,36,Male,High School,Houston,Unemployed,0,2018-11-17
33,42443.0,22355.0,664,39,Female,High School,Chicago,Self-Employed,1,2018-05-04
46,68222.0,21757.0,447,17,Male,Bachelors,Chicago,Self-Employed,0,2024-08-19
20,41036.0,33376.0,443,35,Male,Masters,Chicago,Salaried,0,2020-04-11
37,22819.0,24568.0,402,30,Male,Bachelors,New York,Salaried,0,2021-11-17
53,49488.0,25029.0,392,0,Male,High School,Chicago,Unemployed,0,2025-04-22
36,31980.0,25594.0,585,35,Female,PhD,Houston,Unemployed,0,2018-04-29
43,60378.0,12606.0,723,8,Female,Unknown,New York,Salaried,1,2020-08-04
20,70024.0,15417.0,418,21,Female,Masters,Houston,Unemployed,0,2022-01-07
36,59446.0,28935.0,328,27,Female,High School,San Francisco,Unemployed,0,2021-12-26
37,66071.0,3594.0,810,25,Male,Bachelors,New York,Self-Employed,1,2024-09-08
49,80301.0,14542.0,329,9,Female,High School,Chicago,Salaried,0,2025-06-02
24,64501.0,9354.0,665,2,Male,Bachelors,New York,Salaried,1,2025-10-03
69,54959.0,21874.0,437,1,Male,Bachelors,Houston,Salaried,0,2019-10-26
58,74509.0,16627.0,774,36,Male,Masters,New York,Self-Employed,1,2023-08-23
50,76322.0,25008.0,691,30,Male,Bachelors,San Francisco,Salaried,1,2018-02-19
57,76532.0,19128.0,734,32,Female,Masters,Chicago,Unemployed,0,2026-04-04
56,42618.0,7631.0,533,31,Female,PhD,Chicago,Self-Employed,0,2020-03-31
35,29690.0,8001.0,354,11,Male,Masters,San Francisco,Self-Employed,0,2025-06-10
57,41702.0,19952.0,591,2,Female,Masters,Houston,Salaried,0,2019-02-04
18,60555.0,13831.0,611,25,Female,Masters,New York,Unemployed,0,2024-03-13
28,52387.0,15739.0,847,13,Male,Unknown,Houston,Salaried,1,2018-04-16
45,46903.0,27507.0,388,11,Male,Masters,Houston,Unemployed,0,2025-11-16
42,58407.0,26072.0,511,25,Female,Bachelors,Houston,Salaried,0,2022-08-04
67,27938.0,34382.0,617,15,Male,Bachelors,Chicago,Unemployed,0,2025-09-30
40,52118.0,17469.0,764,7,Female,Masters,New York,Unemployed,0,2021-05-06
48,66777.0,14871.0,386,27,Male,Bachelors,Chicago,Unemployed,0,2023-04-22
47,58240.0,23346.0,708,6,Male,Masters,Chicago,Self-Employed,1,2020-06-26
59,60377.0,15514.0,539,14,Male,PhD,Chicago,Salaried,0,2024-05-23
52,73961.0,15776.0,356,35,Male,Bachelors,New York,Salaried,0,2025-06-26
24,49008.0,18383.0,412,7,Female,Masters,San Francisco,Salaried,0,2020-11-03
33,40204.0,33222.0,369,9,Female,High School,Chicago,Self-Employed,0,2024-09-30
43,67843.0,25632.0,579,14,Female,PhD,Chicago,Unemployed,0,2026-03-19
65,67567.0,26471.0,575,17,Female,High School,Chicago,Self-Employed,0,2019-01-10
69,58374.0,32863.0,532,36,Male,Masters,New York,Self-Employed,0,2018-12-01
66,47594.0,27220.0,353,34,Male,Bachelors,New York,Unemployed,0,2018-04-19
19,50021.0,10949.0,556,1,Female,Masters,Houston,Salaried,0,2022-08-03
18,30848.0,27099.0,389,21,Female,Bachelors,Chicago,Self-Employed,0,2024-11-11
65,66694.0,28114.0,579,14,Female,Masters,Chicago,Unemployed,0,2018-02-19
29,66165.0,25215.0,707,36,Female,Masters,New York,Unemployed,0,2024-03-26
22,30325.0,18436.0,568,38,Female,Bachelors,New York,Salaried,0,2020-04-21
54,63014.0,24371.0,665,35,Male,Bachelors,Chicago,Unemployed,0,2024-10-16
49,56062.0,19838.0,650,4,Female,Masters,San Francisco,Unemployed,0,2022-04-27
26,34670.0,12175.0,598,14,Female,High School,Houston,Unemployed,0,2019-11-20
58,31910.0,14163.0,458,26,Male,PhD,Houston,Salaried,0,2023-03-05
52,55602.0,25630.0,786,15,Male,High School,Chicago,Salaried,1,2022-01-30
36,44034.0,12753.0,825,35,Female,High School,Houston,Unemployed,0,2020-02-27
65,77299.0,13508.0,654,37,Female,High School,Houston,Unemployed,0,2018-12-22
33,64289.0,26027.0,700,17,Female,High School,Chicago,Salaried,1,2023-11-04
20,57105.0,21070.0,704,34,Male,Bachelors,Houston,Salaried,1,2024-04-21
37,57846.0,24618.0,579,24,Female,High School,New York,Salaried,0,2025-10-03
41,69963.0,10168.0,691,21,Female,PhD,Chicago,Self-Employed,1,2019-06-27
50,62698.0,24395.0,651,30,Male,Bachelors,New York,Salaried,1,2023-02-14
41,57496.0,14720.0,587,36,Male,High School,Chicago,Unemployed,0,2022-05-19
69,35296.0,11865.0,822,33,Male,Bachelors,New York,Salaried,0,2025-10-18
28,95929.0,15957.0,461,22,Male,High School,Houston,Unemployed,0,2023-04-08
66,33452.0,30897.0,481,15,Female,High School,San Francisco,Unemployed,0,2018-06-25
25,45312.0,17084.0,848,5,Male,PhD,New York,Unemployed,1,2022-06-06
53,25179.0,37611.0,381,14,Male,Bachelors,New York,Salaried,0,2025-04-18
55,58082.0,3503.0,823,17,Male,Unknown,San Francisco,Salaried,1,2021-11-27
57,52267.0,7630.0,303,37,Female,Unknown,San Francisco,Salaried,0,2020-04-06
37,61479.0,30593.0,794,12,Male,High School,New York,Salaried,1,2018-10-08
52,23914.0,32605.0,350,23,Female,High School,New York,Salaried,0,2020-10-25
65,66694.0,13092.0,560,12,Male,PhD,New York,Self-Employed,0,2019-04-23
42,37888.0,20551.0,433,0,Female,PhD,Chicago,Salaried,0,2018-01-13
52,47765.0,25698.0,661,35,Female,Bachelors,New York,Self-Employed,1,2021-08-11
42,63974.0,18165.0,516,17,Female,PhD,New York,Unemployed,0,2018-08-23
46,53919.0,21199.0,367,32,Male,Bachelors,San Francisco,Unemployed,0,2021-12-31
